,순번,시도본부,소방서,119안전센터명,주소,전화번호,lat,lng
26,27,서울소방재난본부,동대문소방서,용두,서울특별시 동대문구 왕산로 76 (용두동),02-928-0119,37.574596,127.0358427
27,28,서울소방재난본부,동대문소방서,휘경,서울특별시 동대문구 망우로 106 (휘경동),02-2213-0119,37.5906151,127.0651286
28,29,서울소방재난본부,중랑소방서,신내,서울특별시 중랑구 신내로 183 (신내동),02-3422-1196,37.6153417,127.0948707
29,30,서울소방재난본부,중랑소방서,면목,서울특별시 중랑구 동일로 475 (면목동),02-491-5119,37.5728173,127.0798674
30,31,서울소방재난본부,중랑소방서,망우,서울특별시 중랑구 용마산로 524 (망우동),02-493-7119,37.5910115,127.0945925
31,32,서울소방재난본부,중랑소방서,중화,서울특별시 중랑구 동일로 783 (중화동),02-496-1191,37.6004164,127.0793147
32,33,서울소방재난본부,영등포소방서,영등포,서울특별시 영등포구 문래로 197 (영등포동4가),02-2676-0119,37.5183994,126.9041724
33,34,서울소방재난본부,영등포소방서,여의도,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,37.5171833,126.9279612
34,35,서울소방재난본부,영등포소방서,당산,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,37.535452,126.8991798
35,36,서울소방재난본부,영등포소방서,대림,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,37.4972617,126.9040471
36,37,서울소방재난본부,영등포소방서,신길,서울특별시 영등포구 영등포로84길 31 (신길동),02-834-0119,37.5103882,126.9221801
37,38,서울소방재난본부,성북소방서,종암,서울특별시 성북구 종암로27길 3 (종암동),02-925-1119,37.6023364,127.0317849
38,39,서울소방재난본부,성북소방서,돈암,서울특별시 성북구 보문로 192 (삼선동4가),02-925-1158,37.5908801,127.0145216
39,40,서울소방재난본부,성북소방서,길음,서울특별시 성북구 정릉로 321 (길음동),02-987-0272,37.6073126,127.023926
40,41,서울소방재난본부,성북소방서,장위,서울특별시 성북구 한천로 640 (장위동),02-917-0344,37.6155823,127.0581467
41,42,서울소방재난본부,도봉소방서,방학,서울특별시 도봉구 도봉로 666 (방학동),02-3492-9113,37.6640118,127.0433762
42,43,서울소방재난본부,도봉소방서,도봉,서울특별시 도봉구 도봉로 721 (방학동),02-3492-0119,37.6643604,127.0506042
43,44,서울소방재난본부,도봉소방서,창동,서울특별시 도봉구 해등로 25 (창동),02-998-9117,37.6467239,127.0437181
44,45,서울소방재난본부,도봉소방서,쌍문,서울특별시 도봉구 노해로 152 (쌍문동),02-996-0119,37.6540426,127.0341636
45,46,서울소방재난본부,노원소방서,하계,서울특별시 노원구 한글비석로1길 8 (하계동),02-972-1119,37.6381116,127.0710884
46,47,서울소방재난본부,노원소방서,상계,서울특별시 노원구 노원로26길 111 (상계동),02-936-0119,37.6550171,127.0716009
47,48,서울소방재난본부,노원소방서,공릉,서울특별시 노원구 화랑로 482 (공릉동),02-976-0119,37.619019,127.0806814
48,49,서울소방재난본부,노원소방서,월계,서울특별시 노원구 월계로 323 (월계동),02-907-0119,37.6287746,127.0563772
49,50,서울소방재난본부,노원소방서,수락,서울특별시 노원구 동일로 1694 (상계동),02-937-6119,37.6797021,127.0557699
50,51,서울소방재난본부,은평소방서,진관,서울특별시 은평구 통일로 962(진관동),02-354-0119,37.6338132,126.9117734
51,52,서울소방재난본부,은평소방서,녹번,서울특별시 은평구 은평로 245 (녹번동),02-387-0119,37.6011215,126.9349966
52,53,서울소방재난본부,은평소방서,역촌,서울특별시 은평구 갈현로 80 (역촌동),02-352-2119,37.6021918,126.9113883
53,54,서울소방재난본부,은평소방서,수색,서울특별시 은평구 수색로 294 (수색동),02-376-0119,37.5840244,126.8921155
54,55,서울소방재난본부,서대문소방서,서대문_연희,서울특별시 서대문구 연희로 182 (연희동),02-336-0119,37.5731167,126.9360069
55,56,서울소방재난본부,서대문소방서,북가좌,서울특별시 서대문구 증가로 242 (북가좌동),02-372-0119,37.5721856,126.9094083
56,57,서울소방재난본부,서대문소방서,홍은,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-379-9119,37.5986776,126.9470149
57,58,서울소방재난본부,서대문소방서,미근,서울특별시 서대문구 통일로 113 (미근동),02-3147-0119,37.5648204,126.9669958
58,59,서울소방재난본부,마포소방서,신수,서울특별시 마포구 창전로 76 (신수동),02-716--9121,37.5491344,126.9331735
59,60,서울소방재난본부,마포소방서,염리,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,37.5416986,126.9455627
60,61,서울소방재난본부,마포소방서,서교,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,37.550246,126.9155371
61,62,서울소방재난본부,마포소방서,마포_성산,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,37.5588893,126.9149149
62,63,서울소방재난본부,마포소방서,공덕,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,37.5499976,126.9597335
63,64,서울소방재난본부,마포소방서,상암,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119,37.5583362,126.9184644
64,65,서울소방재난본부,강남소방서,강남_삼성,서울특별시 강남구 테헤란로 629 (삼성동),02-567-0119,37.5102372,127.0668095
65,66,서울소방재난본부,강남소방서,영동,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,37.5221047,127.0369213
66,67,서울소방재난본부,강남소방서,역삼,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,37.4970886,127.0424324
67,68,서울소방재난본부,강남소방서,수서,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,37.4848842,127.0928309
68,69,서울소방재난본부,강남소방서,개포,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,37.4747071,127.049878
69,70,서울소방재난본부,서초소방서,반포,서울특별시 서초구 사평대로 67 (반포동),02-534-0119,37.4985816,126.9919593
70,71,서울소방재난본부,서초소방서,방배,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119,37.4754583,126.9881976
71,72,서울소방재난본부,서초소방서,양재,서울특별시 서초구 동산로 9 (양재동),02-572-5523,37.4694149,127.0408117
72,73,서울소방재난본부,서초소방서,서초,서울특별시 서초구 효령로 400 (서초동),02-3473-0119,37.4879992,127.0275872
73,74,서울소방재난본부,서초소방서,잠원,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119,37.4990385,127.0115884
74,75,서울소방재난본부,서초소방서,우면,서울특별시 서초구 남부순환로340길 49 (서초동),02-522-6119,37.4795371,127.0218775
75,76,서울소방재난본부,관악소방서,관악,서울특별시 관악구 관악로 97 (봉천동),02-874-7119,37.4737788,126.9525378
76,77,서울소방재난본부,관악소방서,봉천,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,37.4859095,126.9411007
77,78,서울소방재난본부,관악소방서,관악_신림,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,37.4895941,126.9239739
78,79,서울소방재난본부,관악소방서,난곡,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,37.4756529,126.9160653
79,80,서울소방재난본부,동작소방서,동작,서울특별시 동작구 여의대방로16길 55(신대방동),02-848-1088,37.494574,126.9176431
80,81,서울소방재난본부,동작소방서,노량진,서울특별시 동작구 노량진로 187 (노량진동),02-813-0119,37.5136289,126.9469158
81,82,서울소방재난본부,동작소방서,상도,서울특별시 동작구 국사봉1길 17 (상도동),02-821-1119,37.498994,126.9294563
82,83,서울소방재난본부,동작소방서,동작_백운,서울특별시 동작구 사당로 63 (상도동),02-817-0119,37.4947593,126.9615767
83,84,서울소방재난본부,강서소방서_서울,등촌,서울특별시 강서구 양천로 550 (등촌동),02-3662-9119,37.5580472,126.8599674
84,85,서울소방재난본부,강서소방서_서울,화곡,서울특별시 강서구 까치산로 49 (화곡동),02-2602-0119,37.5436252,126.8452115
85,86,서울소방재난본부,강서소방서_서울,발산,서울특별시 강서구 강서로 329 (내발산동),02-2663-0119,37.5586587,126.8278336
86,87,서울소방재난본부,강서소방서_서울,방화,서울특별시 강서구 금낭화로26길 10 (방화동),02-2665-3115,37.5797532,126.8142672
87,88,서울소방재난본부,강서소방서_서울,개화,서울특별시 강서구 개화동로19길 8 (개화동),02-2662-7119,37.5749282,126.8031114
88,89,서울소방재난본부,양천소방서,양천,서울특별시 양천구 목동서로 180 (목동),02-2643-4119,37.5301152,126.8722632
89,90,서울소방재난본부,양천소방서,양천_신정,서울특별시 양천구 신월로 268 (신정동),02-2603-0119,37.5217374,126.850944
90,91,서울소방재난본부,양천소방서,목동,서울특별시 양천구 안양천로 1139 (목동),02-2249-0119,37.5427431,126.8835337
91,92,서울소방재난본부,양천소방서,양천_신월,서울특별시 양천구 남부순환로 448 (신월동),02-2691-4119,37.5278894,126.8330987
92,93,서울소방재난본부,양천소방서,신트리,서울특별시 양천구 신정로 238 (신정동),02-2691-1113,37.5105745,126.8479865
93,94,서울소방재난본부,강동소방서,성내,서울특별시 강동구 성내로 39 (성내동),02-470-1720,37.5293802,127.1251007
94,95,서울소방재난본부,강동소방서,천호,서울특별시 강동구 진황도로 37 (천호동),02-474-1721,37.5385963,127.1313409
95,96,서울소방재난본부,강동소방서,강동_고덕,서울특별시 강동구 양재대로156길 133 (고덕동),02-426-0431,37.5571398,127.1520328
96,97,서울소방재난본부,강동소방서,암사,서울특별시 강동구 올림픽로 815 (암사동),02-429-0427,37.5539463,127.1286231
97,98,서울소방재난본부,강동소방서,길동,서울특별시 강동구 천중로 215 (길동),02-487-6119,37.5409201,127.1443067
98,99,서울소방재난본부,송파소방서,마천,서울특별시 송파구 오금로51길 56 (마천동),02-3401-2119,37.4997988,127.1425822
99,100,서울소방재난본부,송파소방서,거여,서울특별시 송파구 마천로 329 (마천동),02-400-0119,37.492025,127.1566663
100,101,서울소방재난본부,송파소방서,방이,서울특별시 송파구 강동대로 286 (방이동),02-409-0059,37.5197539,127.1365562
101,102,서울소방재난본부,송파소방서,잠실,서울특별시 송파구 석촌호수로 151 (잠실동),02-422-0119,37.507279,127.0938799
102,103,서울소방재난본부,송파소방서,운동장,서울특별시 송파구 올림픽로 25 (잠실동),02-2203-2380,37.517074,127.0885658
103,104,서울소방재난본부,송파소방서,가락,서울특별시 송파구 양재대로 932 (가락동),02-409-0045,37.4952783,127.1157128
104,105,서울소방재난본부,구로소방서,고일,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,37.5011414,126.8625002
105,106,서울소방재난본부,구로소방서,수궁,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,37.4962243,126.8295317
106,107,서울소방재난본부,구로소방서,고척,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,37.5048719,126.8548534
107,108,서울소방재난본부,구로소방서,구로,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,37.4941895,126.8825369
108,109,서울소방재난본부,구로소방서,독산,서울특별시 금천구 시흥대로 386 (독산동),02-869-1119,37.4678684,126.8982905
109,110,서울소방재난본부,구로소방서,구로_시흥,서울특별시 금천구 시흥대로45길 31 (시흥동),02-806-1119,37.4485125,126.9004528
110,111,서울소방재난본부,구로소방서,신도림,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119,37.5072878,126.881197
111,112,서울소방재난본부,구로소방서,구로_공단,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,37.4841839,126.8984241
112,113,서울소방재난본부,강북소방서_서울,번동,서울특별시 강북구 보건소길 2 (번동),02-6946-0250,37.6260381,127.0478462
113,114,서울소방재난본부,강북소방서_서울,우이,서울특별시 강북구 삼각산로 111 (수유동),02-998-9116,37.6408841,127.0165083
114,115,서울소방재난본부,강북소방서_서울,미아,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,37.6251982,127.0277206
115,116,서울소방재난본부,강북소방서_서울,삼각산,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,37.6198114,127.0154958
116,117,부산소방안전본부,중부소방서_부산,중부(부산)_중앙,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6111,35.1070089,129.0367513
117,118,부산소방안전본부,중부소방서_부산,부민,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6121,35.1032236,129.0186032
118,119,부산소방안전본부,중부소방서_부산,충무,부산광역시 서구 충무대로 186(남부민동),051-760-6131,35.0867304,129.023028
119,120,부산소방안전본부,중부소방서_부산,창선,부산광역시 중구 대청로 68-1(부평동),051-760-6141,35.1028487,129.0273612
120,121,부산소방안전본부,중부소방서_부산,초량,부산광역시 동구 중앙대로 260번길 7-3(초량동),051-760-6151,35.1197793,129.0432234
121,122,부산소방안전본부,부산진소방서,범일,부산광역시 동구 범일로 115(범일동),051-760-6211,35.1404334,129.0590636
122,123,부산소방안전본부,부산진소방서,부전,부산광역시 부산진구 서전로 43(전포동),051-760-6221,35.1580852,129.0646299
123,124,부산소방안전본부,부산진소방서,수정,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,35.1237956,129.0402257
124,125,부산소방안전본부,부산진소방서,부산진_가야,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,35.1557528,129.0404073
125,126,부산소방안전본부,부산진소방서,부암,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,35.166902,129.0507535
126,127,부산소방안전본부,부산진소방서,당감,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,35.1716969,129.0285449
127,128,부산소방안전본부,동래소방서,동래_연산,부산광역시 연제구 고분로 216(연산동),051-760-6311,35.1838508,129.1059282
128,129,부산소방안전본부,동래소방서,수안,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6321,35.1981508,129.0838281
129,130,부산소방안전본부,동래소방서,온천,부산광역시 동래구 우장춘로 196(온천동),051-760-6331,35.223133,129.077609
130,131,부산소방안전본부,동래소방서,양정,부산광역시 부산진구 연제로9번길 42(양정동),051-760-6341,35.175432,129.0758934
131,132,부산소방안전본부,동래소방서,동래_사직,부산광역시 동래구 체육공원로 74(사직동),051-760-6351,35.1940713,129.0620422
132,133,부산소방안전본부,북부소방서_부산,삼락,부산광역시 사상구 삼덕로 17(삼락동),051-760-6411,35.1746087,128.9786872
133,134,부산소방안전본부,북부소방서_부산,감전,부산광역시 사상구 가야대로 41(감전동),051-760-6421,35.1518624,128.9774095
134,135,부산소방안전본부,북부소방서_부산,구포,부산광역시 북구 만덕대로 31(덕천동),051-760-6431,35.2110946,129.0084111
135,136,부산소방안전본부,북부소방서_부산,화명,부산광역시 북구 금곡대로 184(화명동),051-760-6441,35.2252718,129.0103221
136,137,부산소방안전본부,북부소방서_부산,주례,부산광역시 사상구 양지로22번길 7(주례동),051-760-6451,35.1540429,129.0041846
137,138,부산소방안전본부,북부소방서_부산,모라,부산광역시 사상구 백양대로 950(모라동),051-760-6461,35.18627,128.9891139
138,139,부산소방안전본부,북부소방서_부산,학장,부산광역시 사상구 학감대로 89(학장동),051-760-6471,35.1396767,128.9904714
139,140,부산소방안전본부,북부소방서_부산,금곡,부산광역시 북구 금곡대로616번길 151(금곡동),051-760-6491,35.2672677,129.0176661
140,141,부산소방안전본부,북부소방서_부산,만덕,부산광역시 북구 함박봉로 142(만덕동),051-760-6441,35.2089785,129.0234015
141,142,부산소방안전본부,사하소방서,사하_신평,부산광역시 사하구 장평로 270(신평동),051-760-6511,35.0902637,128.9736756
142,143,부산소방안전본부,사하소방서,괴정,부산광역시 사하구 낙동대로 262(괴정동),051-760-6521,35.1016252,128.9962902
143,144,부산소방안전본부,사하소방서,하단,부산광역시 사하구 낙동남로 1407(하단동),051-760-6431,35.1065102,128.9656081
144,145,부산소방안전본부,사하소방서,다대,부산광역시 사하구 다대로 622(다대동),051-760-6541,35.0511798,128.9703878
145,146,부산소방안전본부,사하소방서,감천,부산광역시 사하구 원양로 405(감천동),051-760-6551,35.0863022,129.0048133
146,147,부산소방안전본부,해운대소방서,우동,부산광역시 해운대구 해운대해변로 106(우동),051-760-6611,35.1594455,129.1434471
147,148,부산소방안전본부,해운대소방서,해운대_중동,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6621,35.1606838,129.1758645
148,149,부산소방안전본부,해운대소방서,반여,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6631,35.1974792,129.1178505
149,150,부산소방안전본부,해운대소방서,좌동,부산광역시 해운대구 대천로 67번길 35(좌동),051-760-6641,35.1736443,129.1664873
150,151,부산소방안전본부,해운대소방서,센텀,부산광역시 해운대구 센텀동로 50(우동),051-760-6651,35.1784175,129.1251115
151,152,부산소방안전본부,금정소방서,금정_부곡,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,35.2439566,129.0925855
152,153,부산소방안전본부,금정소방서,서동,부산광역시 동래구 반송로 331(명장동),051-760-6721,35.208968,129.1033144
153,154,부산소방안전본부,금정소방서,금정_남산,부산광역시 금정구 두실로 46(남산동),051-760-6731,35.2614286,129.0868987
154,155,부산소방안전본부,금정소방서,반송,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6741,35.225387,129.1470045
155,156,부산소방안전본부,금정소방서,산성산악,부산광역시 금정구 산성로 396(금성동),051-760-6751,35.2531483,129.0547454
156,157,부산소방안전본부,남부소방서_부산,광안,부산광역시 수영구 광일로 64(광안동),051-760-6811,35.1631637,129.1070531
157,158,부산소방안전본부,남부소방서_부산,감만,부산광역시 남구 우암로 81(감만동),051-760-6821,35.1177262,129.0805459
158,159,부산소방안전본부,남부소방서_부산,대연,부산광역시 남구 수영로 279(대연동),051-760-6831,35.1362223,129.0970442
159,160,부산소방안전본부,남부소방서_부산,망미,부산광역시 수영구 과정로55번길 16(망미동),051-760-6841,35.1763846,129.1064254
160,161,부산소방안전본부,남부소방서_부산,용당,부산광역시 남구 신선로 398(용당동),051-760-6851,35.12064,129.09864
161,162,부산소방안전본부,강서소방서_부산,녹산,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6011,35.0895954,128.8568112
162,163,부산소방안전본부,강서소방서_부산,신호,부산광역시 강서구 신호산단4로 62(신호동),051-760-6021,35.0854276,128.8795555
163,164,부산소방안전본부,강서소방서_부산,대저,부산광역시 강서구 대저로221번길 25(대저동),051-760-6031,35.2177465,128.9771954
164,165,부산소방안전본부,강서소방서_부산,강동,부산광역시 강서구 제도로 696(강동동),051-760-6041,35.1747453,128.9160365
165,166,부산소방안전본부,강서소방서_부산,지사,부산광역시 강서구 과학산단로 333번길 3(지사동),051-760-6051,35.1461873,128.8318086
166,167,부산소방안전본부,기장소방서,정관,부산광역시 기장군 정관면 용수로 7(정관읍),051-760-5411,35.3248281,129.1796641
167,168,부산소방안전본부,기장소방서,기장,부산광역시 기장군 기장읍 차성동로 5번길 16(기장읍),051-760-5421,35.2385217,129.21589
168,169,부산소방안전본부,기장소방서,기장_송정,부산광역시 해운대구 송정중앙로 15번길 16(송정동),051-760-5431,35.1838156,129.203047
169,170,부산소방안전본부,기장소방서,장안,부산광역시 기장군 장안산단 3로 43(장안읍),051-760-5441,35.3135201,129.1843307
170,171,부산소방안전본부,항만소방서,동삼,부산광역시 영도구 해양로 297(동삼동),051-760-6911,35.0811482,129.0759195
171,172,부산소방안전본부,항만소방서,영선,부산광역시 영도구 태종로 115(영선동),051-760-6921,35.0838822,129.0416367
172,173,부산소방안전본부,항만소방서,부두,부산광역시 동구 충장대로 236(좌천동),051-760-6931,35.134274,129.054337
173,174,부산소방안전본부,항만소방서,항만_청학,부산광역시 영도구 태종로 274(청학동),051-760-6941,35.0946396,129.0582836
174,175,대구소방안전본부,중부소방서_대구,남산,대구광역시 중구 달구벌대로 1926 ,053-601-4571,35.8623176,128.575251
175,176,대구소방안전본부,중부소방서_대구,서문로,대구광역시 중구 경상감영길 45,053-601-4572,35.8715406,128.5899904
176,177,대구소방안전본부,중부소방서_대구,대신,대구광역시 중구 큰장로26길 45,053-601-4574,35.8688986,128.580781
177,178,대구소방안전본부,중부소방서_대구,삼덕,대구광역시 중구 공평로 35 ,053-601-4575,35.8672131,128.5996862
178,179,대구소방안전본부,중부소방서_대구,명덕,대구광역시 남구 명덕로34길 22 ,053-601-4577,35.8555251,128.5872268
179,180,대구소방안전본부,중부소방서_대구,봉덕,대구광역시 남구 희망로3길 29 ,053-601-4573,35.8490543,128.5993059
180,181,대구소방안전본부,중부소방서_대구,대명,대구광역시 남구 현충로15길 21-81,053-601-4576,35.8374128,128.5790903
181,182,대구소방안전본부,중부소방서_대구,성명,대구광역시 남구 대명남로 12-1,053-601-4578,35.8334079,128.5601596
182,183,대구소방안전본부,동부소방서_대구,신천,대구광역시 동구 동대구로 507 ,053-605-5320,35.8760729,128.6251809
183,184,대구소방안전본부,동부소방서_대구,동촌,대구광역시 동구 해동로 180 ,053-605-5330,35.8866851,128.6484361
184,185,대구소방안전본부,동부소방서_대구,안심,대구광역시 동구 반야월로 291 ,053-605-5340,35.8722028,128.720423
185,186,대구소방안전본부,동부소방서_대구,불로,대구광역시 동구 팔공로50길 19 ,053-605-5350,35.9205213,128.6479213
186,187,대구소방안전본부,동부소방서_대구,공산,대구광역시 동구 팔공산로 1579 ,053-605-5360,35.9627627,128.6977358
187,188,대구소방안전본부,동부소방서_대구,율하,대구광역시 동구 율하동로8길 5,053-605-5370,35.8631666,128.7030747
188,189,대구소방안전본부,서부소방서_대구,평리,대구광역시 서구 달서천로 186 ,053-320-4492,35.881886,128.5543905
189,190,대구소방안전본부,서부소방서_대구,읍내,대구광역시 북구 칠곡중앙대로 570 ,053-321-0119,35.9463498,128.5516049
190,191,대구소방안전본부,서부소방서_대구,이현,대구광역시 서구 국채보상로 119 ,053-552-0119,35.8690863,128.5441569
191,192,대구소방안전본부,서부소방서_대구,비산,대구광역시 서구 달서로 206 ,053-566-0119,35.8804521,128.5720441
192,193,대구소방안전본부,서부소방서_대구,태전,대구광역시 북구 칠곡중앙대로 184 ,053-312-0119,35.9123408,128.548826
193,194,대구소방안전본부,서부소방서_대구,내당,대구광역시 서구 서대구로3길 16 ,053-557-0119,35.859439,128.5552904
194,195,대구소방안전본부,서부소방서_대구,동천,대구광역시 북구 구암로 155 ,053-325-0119,35.9319607,128.5577963
195,196,대구소방안전본부,북부소방서_대구,칠성,대구광역시 북구 칠성남로 112 ,053-350-5720,35.8779915,128.5923197
196,197,대구소방안전본부,북부소방서_대구,침산,대구광역시 북구 침산남로 149 ,053-350-5740,35.8883488,128.5922628
197,198,대구소방안전본부,북부소방서_대구,노원,대구광역시 북구 노원로 42 ,053-350-5750,35.8922096,128.5673269
198,199,대구소방안전본부,북부소방서_대구,대현,대구광역시 북구 대현로 105 ,053-350-5770 ,35.8824452,128.6106348
199,200,대구소방안전본부,북부소방서_대구,복현,대구광역시 북구 동북로 245 ,053-350-5760,35.8954033,128.6182091
200,201,대구소방안전본부,북부소방서_대구,무태,대구광역시 북구 호국로43길 21 ,053-350-5780 ,35.9209308,128.5969035
201,202,대구소방안전본부,북부소방서_대구,산격,대구광역시 북구 유통단지로8길 88 ,053-350-5790,35.9060735,128.6142595
202,203,대구소방안전본부,수성소방서,범물,대구광역시 수성구 청호로 87 ,053-780-5261,35.825519,128.6442638
203,204,대구소방안전본부,수성소방서,만촌,대구광역시 수성구 달구벌대로 2658 ,053-752-0119,35.8553518,128.6521145
204,205,대구소방안전본부,수성소방서,황금,대구광역시 수성구 동대구로12길 41 ,053-764-0119,35.8355187,128.626452
205,206,대구소방안전본부,수성소방서,상동,대구광역시 수성구 파동로51길 5 ,053-765-0119,35.8251545,128.6094298
206,207,대구소방안전본부,수성소방서,수성,대구광역시 수성구 들안로60길 30 ,053-741-2119 ,35.8568077,128.6209186
207,208,대구소방안전본부,수성소방서,고산,대구광역시 수성구 고산로 105 ,053-791-7119,35.8403373,128.7045513
208,209,대구소방안전본부,수성소방서,무열로,대구광역시 수성구 무열로 139 ,053-741-0119,35.8706983,128.648153
209,210,대구소방안전본부,달서소방서,월성,대구광역시 달서구 학산로 75 ,053-607-2281,35.8310954,128.5347651
210,211,대구소방안전본부,달서소방서,송현,대구광역시 달서구 월배로 262 ,053-632-0119,35.8200117,128.542029
211,212,대구소방안전본부,달서소방서,본리,대구광역시 달서구 대명천로 134 ,053-625-0119 ,35.8396929,128.5450475
212,213,대구소방안전본부,달서소방서,도원,대구광역시 달서구 도원로 8 ,053-633-9110,35.8090089,128.5356626
213,214,대구소방안전본부,달성소방서,현풍,대구광역시 달성군 현풍면 비슬로 480 ,053-670-5421 ,35.6825307,128.4470113
